Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000000160	Isolate	2098512	34	117970	61.38	100.0	0.81	94.12	99.61	99.42	20	GUT_GENOME000768	MGYG000000160	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003479805	SAMN09734195	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000160/genomes1/MGYG000000160.gff.gz
MGYG000000161	Isolate	2049624	157	30444	37.84	98.94	0.0	93.28	99.67	99.83	20	GUT_GENOME000770	MGYG000000161	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus	SAMN09734196	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000161/genomes1/MGYG000000161.gff.gz
MGYG000000162	Isolate	3083618	216	35061	37.97	99.01	0.47	94.96	98.3	99.18	20	GUT_GENOME000784	MGYG000000162	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B durans	SAMN09734210	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000162/genomes1/MGYG000000162.gff.gz
MGYG000000163	Isolate	2560364	31	264102	44.54	98.02	0.87	94.96	99.67	99.83	19	GUT_GENOME000812	MGYG000000163	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C asini	SAMN09734238	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000163/genomes1/MGYG000000163.gff.gz
MGYG000000164	Isolate	3102552	25	318557	43.85	98.83	0.73	0.0	99.67	91.79	20	GUT_GENOME000818	MGYG000000164	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__Mediterraneibacter_A butyricigenes	SAMN09734244	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000164/genomes1/MGYG000000164.gff.gz
MGYG000000165	Isolate	3899966	43	231667	49.54	98.73	0.0	0.0	99.54	99.73	20	GUT_GENOME000852	MGYG000000165	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Extibacter;s__Extibacter muris	SAMN09734278	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000165/genomes1/MGYG000000165.gff.gz
MGYG000000166	Isolate	1967639	100	55235	51.97	99.18	0.0	0.0	99.67	99.83	20	GUT_GENOME000862	MGYG000000166	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	SAMN09734289	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000166/genomes1/MGYG000000166.gff.gz
MGYG000000167	Isolate	2290660	55	100899	59.73	100.0	0.81	94.12	99.61	99.45	20	GUT_GENOME000871	MGYG000000167	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SAMN09734298	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000167/genomes1/MGYG000000167.gff.gz
MGYG000000168	Isolate	5206610	56	397544	43.74	99.46	1.61	72.27	99.67	99.42	20	GUT_GENOME000872	MGYG000000168	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas sp003479425	SAMN09734299	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000168/genomes1/MGYG000000168.gff.gz
MGYG000000169	Isolate	2836880	44	187385	35.82	99.33	0.67	0.0	99.67	99.79	20	GUT_GENOME000889	MGYG000000169	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp000432355	SAMN09734315	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000169/genomes1/MGYG000000169.gff.gz
MGYG000000170	Isolate	3119069	40	304420	54.2	99.52	0.0	94.96	99.15	99.66	20	GUT_GENOME000899	MGYG000000170	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900240235	SAMN09734326	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000170/genomes1/MGYG000000170.gff.gz
MGYG000000171	Isolate	3528861	38	304690	42.4	99.37	0.63	0.0	99.67	99.59	20	GUT_GENOME000906	MGYG000000171	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900120195	SAMN09734333	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000171/genomes1/MGYG000000171.gff.gz
MGYG000000172	Isolate	6502338	75	242482	55.42	99.22	0.0	0.0	99.67	99.83	20	GUT_GENOME000931	MGYG000000172	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster lavalensis	SAMN09734357	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000172/genomes1/MGYG000000172.gff.gz
MGYG000000173	Isolate	1989881	8	579033	36.92	100.0	0.0	0.0	99.67	99.66	20	GUT_GENOME000941	MGYG000000173	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia moorei	SAMN09734367	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000173/genomes1/MGYG000000173.gff.gz
MGYG000000174	Isolate	6515019	58	318243	43.02	99.62	0.0	0.0	99.67	99.45	20	GUT_GENOME000944	MGYG000000174	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecis	SAMN09734370	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000174/genomes1/MGYG000000174.gff.gz
MGYG000000175	Isolate	5055107	98	111301	45.99	99.42	0.0	82.35	99.67	99.62	20	GUT_GENOME000962	MGYG000000175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes;s__Muricomes sp000509105	SAMN09734388	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000175/genomes1/MGYG000000175.gff.gz
MGYG000000176	Isolate	5921397	87	174047	44.56	99.12	0.29	0.0	94.26	89.37	20	GUT_GENOME000963	MGYG000000176	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes;s__Muricomes oroticus	SAMN09734390	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000176/genomes1/MGYG000000176.gff.gz
MGYG000000177	Isolate	2530741	47	334915	47.53	97.99	0.0	0.0	98.24	99.83	20	GUT_GENOME000967	MGYG000000177	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola	SAMN09734394	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000177/genomes1/MGYG000000177.gff.gz
MGYG000000178	Isolate	3124392	42	116128	58.64	99.33	0.0	90.76	99.74	99.86	20	GUT_GENOME000979	MGYG000000178	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp003478995	SAMN09734405	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000178/genomes1/MGYG000000178.gff.gz
MGYG000000179	Isolate	6044848	95	236844	50.17	99.37	0.0	0.0	99.67	99.79	20	GUT_GENOME000980	MGYG000000179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis	SAMN09734406	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000179/genomes1/MGYG000000179.gff.gz
MGYG000000180	Isolate	2452589	69	108838	59.81	100.0	1.61	94.12	99.61	99.45	20	GUT_GENOME000984	MGYG000000180	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003459505	SAMN09734410	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000180/genomes1/MGYG000000180.gff.gz
MGYG000000181	Isolate	2690153	143	46486	40.91	96.04	0.84	0.0	99.67	99.62	19	GUT_GENOME000994	MGYG000000181	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9414;s__UBA9414 sp003458885	SAMN09734420	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000181/genomes1/MGYG000000181.gff.gz
MGYG000000182	Isolate	2580428	87	64611	56.58	100.0	0.08	0.0	99.74	99.76	20	GUT_GENOME000996	MGYG000000182	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella sp003458855	SAMN09734422	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000182/genomes1/MGYG000000182.gff.gz
MGYG000000183	Isolate	5449115	82	213880	42.89	99.46	0.0	89.08	86.69	99.42	20	GUT_GENOME001003	MGYG000000183	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	SAMN09734429	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000183/genomes1/MGYG000000183.gff.gz
MGYG000000184	Isolate	3628099	81	130623	42.44	99.37	0.0	83.19	93.48	99.66	20	GUT_GENOME001004	MGYG000000184	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A luti	SAMN09734430	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000184/genomes1/MGYG000000184.gff.gz
MGYG000000185	Isolate	3231072	121	68259	53.24	99.92	0.67	0.0	92.5	80.68	20	GUT_GENOME001016	MGYG000000185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	SAMN09734442	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000185/genomes1/MGYG000000185.gff.gz
MGYG000000186	Isolate	2274792	84	78326	33.97	98.11	1.25	94.96	99.67	99.73	20	GUT_GENOME001022	MGYG000000186	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp003458715	SAMN09734448	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000186/genomes1/MGYG000000186.gff.gz
MGYG000000187	Isolate	2804290	150	56031	37.75	98.08	0.67	0.0	99.67	98.15	20	GUT_GENOME001023	MGYG000000187	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003537285	SAMN09734449	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000187/genomes1/MGYG000000187.gff.gz
MGYG000000188	Isolate	2272898	55	96358	59.84	100.0	0.81	94.12	99.61	99.45	20	GUT_GENOME001026	MGYG000000188	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003462685	SAMN09734452	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000188/genomes1/MGYG000000188.gff.gz
MGYG000000189	Isolate	2889110	11	578091	41.5	99.33	0.0	0.0	99.74	99.79	20	GUT_GENOME001027	MGYG000000189	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115	SAMN09734454	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000189/genomes1/MGYG000000189.gff.gz
MGYG000000190	Isolate	2845715	13	382710	44.04	98.66	0.0	0.0	99.67	99.79	20	GUT_GENOME001029	MGYG000000190	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	SAMN09734455	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000190/genomes1/MGYG000000190.gff.gz
MGYG000000191	Isolate	2910060	134	64429	47.42	100.0	0.0	95.8	99.74	99.79	20	GUT_GENOME001039	MGYG000000191	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_C;g__Weizmannia;s__Weizmannia coagulans	SAMN09734463	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000191/genomes1/MGYG000000191.gff.gz
MGYG000000192	Isolate	3744496	58	141100	50.06	100.0	0.32	0.0	99.67	99.66	20	GUT_GENOME001046	MGYG000000192	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__Holdemania filiformis	SAMN09734472	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000192/genomes1/MGYG000000192.gff.gz
MGYG000000193	Isolate	4116467	145	84687	41.46	97.47	1.9	82.35	94.65	88.27	19	GUT_GENOME001056	MGYG000000193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	SAMN09734483	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000193/genomes1/MGYG000000193.gff.gz
MGYG000000194	Isolate	3575049	112	82411	48.42	98.73	1.9	82.35	94.06	93.03	20	GUT_GENOME001105	MGYG000000194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003478505	SAMN09734531	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000194/genomes1/MGYG000000194.gff.gz
MGYG000000195	Isolate	3389403	44	301342	56.23	100.0	0.0	94.12	99.74	99.83	20	GUT_GENOME001115	MGYG000000195	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	SAMN09734542	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000195/genomes1/MGYG000000195.gff.gz
MGYG000000196	Isolate	6397474	84	188408	43.19	99.41	0.0	94.96	99.67	99.56	20	GUT_GENOME001120	MGYG000000196	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	SAMN09734544	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000196/genomes1/MGYG000000196.gff.gz
MGYG000000197	Isolate	2366782	57	134292	59.9	100.0	0.81	94.12	99.61	99.45	20	GUT_GENOME001122	MGYG000000197	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003458415	SAMN09734548	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000197/genomes1/MGYG000000197.gff.gz
MGYG000000198	Isolate	6476049	92	371060	49.48	99.37	0.0	80.67	99.67	99.83	20	GUT_GENOME001135	MGYG000000198	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster citroniae	SAMN09734561	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000198/genomes1/MGYG000000198.gff.gz
MGYG000000199	Isolate	2066234	19	278399	42.2	99.92	0.0	94.12	99.74	99.76	20	GUT_GENOME001139	MGYG000000199	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	SAMN09734566	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000001/MGYG000000199/genomes1/MGYG000000199.gff.gz
MGYG000000200	Isolate	4192583	130	97301	41.24	99.37	0.0	0.0	99.67	99.66	18	GUT_GENOME001147	MGYG000000200	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165	SAMN09734574	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000200/genomes1/MGYG000000200.gff.gz
MGYG000000201	Isolate	4593677	72	218554	43.94	99.37	0.0	0.0	93.09	99.66	19	GUT_GENOME001159	MGYG000000201	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066145	SAMN09734585	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000201/genomes1/MGYG000000201.gff.gz
MGYG000000202	Isolate	5162288	54	267148	49.77	98.82	2.06	0.0	92.89	99.83	20	GUT_GENOME001177	MGYG000000202	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AF33-28;s__AF33-28 sp003477885	SAMN09734603	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000202/genomes1/MGYG000000202.gff.gz
MGYG000000203	Isolate	4537346	100	133498	42.32	99.46	0.0	92.44	99.67	94.6	20	GUT_GENOME001189	MGYG000000203	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	SAMN09734615	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000203/genomes1/MGYG000000203.gff.gz
MGYG000000204	Isolate	2669364	39	244186	33.44	99.33	0.0	81.51	99.67	99.79	19	GUT_GENOME001190	MGYG000000204	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp000435815	SAMN09734616	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000204/genomes1/MGYG000000204.gff.gz
MGYG000000205	Isolate	3700211	126	117594	47.99	100.0	0.0	81.51	81.87	99.76	20	GUT_GENOME001208	MGYG000000205	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	SAMN09734633	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000205/genomes1/MGYG000000205.gff.gz
MGYG000000206	Isolate	2952936	28	311472	43.24	99.22	1.75	0.0	99.61	99.62	19	GUT_GENOME001213	MGYG000000206	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__Lachnoclostridium_B sp900066555	SAMN09734640	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000206/genomes1/MGYG000000206.gff.gz
MGYG000000207	Isolate	2229433	36	166526	59.82	100.0	1.61	94.12	99.61	99.45	20	GUT_GENOME001223	MGYG000000207	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SAMN09734650	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000207/genomes1/MGYG000000207.gff.gz
MGYG000000208	Isolate	2760783	37	299392	34.42	99.33	0.0	0.0	99.67	99.79	19	GUT_GENOME001239	MGYG000000208	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	SAMN09734665	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000208/genomes1/MGYG000000208.gff.gz
MGYG000000209	Isolate	3107681	76	103900	40.28	98.66	0.0	0.0	99.61	99.86	19	GUT_GENOME001241	MGYG000000209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	SAMN09734666	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000209/genomes1/MGYG000000209.gff.gz
MGYG000000210	Isolate	2261186	107	51844	59.72	100.0	1.61	94.12	99.61	99.45	20	GUT_GENOME001245	MGYG000000210	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734671	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000210/genomes1/MGYG000000210.gff.gz
MGYG000000211	Isolate	6486320	57	432362	42.35	99.13	0.37	94.96	99.67	99.59	20	GUT_GENOME001255	MGYG000000211	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900556215	SAMN09734683	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000211/genomes1/MGYG000000211.gff.gz
MGYG000000212	Isolate	3683307	36	441503	41.27	99.37	0.0	0.0	86.17	99.59	20	GUT_GENOME001261	MGYG000000212	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	SAMN09734687	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000212/genomes1/MGYG000000212.gff.gz
MGYG000000213	Isolate	4347192	168	66465	42.2	98.73	0.13	82.35	93.09	66.7	20	GUT_GENOME001270	MGYG000000213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003477525	SAMN09734696	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000213/genomes1/MGYG000000213.gff.gz
MGYG000000214	Isolate	2032518	120	32779	38.77	100.0	0.0	0.0	99.67	99.69	20	GUT_GENOME001274	MGYG000000214	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar_A	SAMN09734700	PRJNA482748	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000002/MGYG000000214/genomes1/MGYG000000214.gff.gz
