Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000298321	MAG	2447368	116	51232	41.42	96.18	0.0	0.0	0.0	0.0	19	GCA_015260075	MGYG000298321	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000257925	SAMN14571017	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298321/genomes1/MGYG000298321.gff.gz
MGYG000298322	MAG	2128086	21	103991	65.77	69.83	3.45	93.28	99.67	99.32	15	CAKAEY01	MGYG000298322	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__	ERS7766754	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298322/genomes1/MGYG000298322.gff.gz
MGYG000298326	MAG	1977728	107	27411	29.04	99.95	1.73	0.0	0.0	0.0	18	GCA_013333235	MGYG000298326	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__JABCPH02;s__JABCPH02 sp013333235	SAMN14602671	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298326/genomes1/MGYG000298326.gff.gz
MGYG000298328	MAG	2873148	60	78266	46.75	97.44	1.27	94.12	0.0	0.0	12	CAJZIU01	MGYG000298328	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus	ERS7621705	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298328/genomes1/MGYG000298328.gff.gz
MGYG000298329	MAG	2844779	1	2844779	45.95	94.01	0.45	94.96	99.67	99.42	20	CAKAFA01	MGYG000298329	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__F0040;s__	ERS7766733	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298329/genomes1/MGYG000298329.gff.gz
MGYG000298333	MAG	2391254	243	11899	36.9	91.88	0.0	0.0	0.0	0.0	12	CAJPMC01	MGYG000298333	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum saburreum	ERS6080585	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298333/genomes1/MGYG000298333.gff.gz
MGYG000298334	MAG	2017302	121	41436	42.32	97.13	1.34	94.12	43.51	15.52	18	GCA_015264815	MGYG000298334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	SAMN14571065	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298334/genomes1/MGYG000298334.gff.gz
MGYG000298337	MAG	1785270	35	234596	39.82	100.0	0.71	94.12	0.0	10.67	19	GCA_015255785	MGYG000298337	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B;s__Eubacterium_B sulci	SAMN14570756	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298337/genomes1/MGYG000298337.gff.gz
MGYG000298338	MAG	2226556	114	31588	59.93	99.33	0.39	94.96	61.64	18.12	20	GCA_015265375	MGYG000298338	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__	SAMN14571033	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298338/genomes1/MGYG000298338.gff.gz
MGYG000298341	MAG	2515511	1	2515511	60.08	95.7	0.69	0.0	99.67	99.32	20	CAKAGE01	MGYG000298341	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	ERS7766758	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298341/genomes1/MGYG000298341.gff.gz
MGYG000298342	MAG	1765071	99	35050	41.51	89.73	1.52	0.0	0.0	0.0	9	CAJPMK01	MGYG000298342	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ERS6080569	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298342/genomes1/MGYG000298342.gff.gz
MGYG000298344	MAG	583549	46	17936	50.84	59.48	0.0	68.07	0.0	0.0	13	CAJPQA01	MGYG000298344	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__TM7x sp010202645	ERS6080685	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298344/genomes1/MGYG000298344.gff.gz
MGYG000298346	MAG	2494191	83	52569	56.72	98.84	0.74	93.28	0.0	0.0	20	CAJPMR01	MGYG000298346	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__Centipeda felix	ERS6080594	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298346/genomes1/MGYG000298346.gff.gz
MGYG000298347	MAG	3475311	224	20800	65.06	94.71	1.05	0.0	0.0	0.0	19	CAJZEP01	MGYG000298347	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia dentalis	ERS7599790	ERP108069	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298347/genomes1/MGYG000298347.gff.gz
MGYG000298348	MAG	2151386	51	114759	47.05	97.0	0.37	0.0	0.0	0.0	20	CAJPRT01	MGYG000298348	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__	ERS6080726	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298348/genomes1/MGYG000298348.gff.gz
MGYG000298350	MAG	1893292	32	96169	34.58	99.03	0.06	0.0	0.0	0.0	18	CAJPNI01	MGYG000298350	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	ERS6080596	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298350/genomes1/MGYG000298350.gff.gz
MGYG000298352	MAG	1664543	304	5697	40.4	80.6	2.97	0.0	0.0	0.0	10	CAJPLT01	MGYG000298352	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A parahaemolyticus	ERS6079598	ERP127558	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298352/genomes1/MGYG000298352.gff.gz
MGYG000298358	MAG	2878378	125	32318	43.79	98.99	0.0	94.96	0.0	0.0	19	CAJPPY01	MGYG000298358	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oris	ERS6080662	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298358/genomes1/MGYG000298358.gff.gz
MGYG000298359	MAG	665975	1	665975	35.28	56.42	0.09	71.43	99.74	99.56	20	CAKAEX01	MGYG000298359	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UMGS1907;s__	ERS7766743	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298359/genomes1/MGYG000298359.gff.gz
MGYG000298360	MAG	2028958	149	17536	55.61	94.62	0.0	0.0	0.0	0.0	18	CAJPPX01	MGYG000298360	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum longum	ERS6080674	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298360/genomes1/MGYG000298360.gff.gz
MGYG000298363	MAG	1634204	269	7261	27.23	82.02	0.0	0.0	0.0	0.0	12	CAJPOZ01	MGYG000298363	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium vincentii	ERS6080643	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298363/genomes1/MGYG000298363.gff.gz
MGYG000298365	MAG	1494698	302	5232	27.47	78.03	0.0	0.0	0.0	0.0	6	CAJPMI01	MGYG000298365	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis	ERS6080567	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298365/genomes1/MGYG000298365.gff.gz
MGYG000298369	MAG	1461342	334	5726	56.04	80.79	0.88	93.28	0.0	0.0	16	GCA_015264715	MGYG000298369	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A	SAMN14571069	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298369/genomes1/MGYG000298369.gff.gz
MGYG000298370	MAG	2216574	26	118163	59.74	99.33	0.0	94.96	0.0	0.0	20	CAJPJC01	MGYG000298370	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	ERS6076925	ERP126158	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298370/genomes1/MGYG000298370.gff.gz
MGYG000298371	MAG	1939663	143	45271	38.11	94.72	0.42	92.44	19.18	10.32	15	GCA_015264695	MGYG000298371	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar_A	SAMN14571072	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298371/genomes1/MGYG000298371.gff.gz
MGYG000298375	MAG	447883	83	5756	35.38	59.75	0.0	71.43	0.0	11.21	14	CAJZLF01	MGYG000298375	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UMGS1907;s__UMGS1907 sp900556165	ERS7621710	ERP125117	Germany	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298375/genomes1/MGYG000298375.gff.gz
MGYG000298376	MAG	1283177	126	18523	28.0	77.69	1.67	0.0	15.85	45.26	15	GCA_015257355	MGYG000298376	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__	SAMN14570676	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298376/genomes1/MGYG000298376.gff.gz
MGYG000298377	MAG	2181532	110	26501	62.23	98.11	0.0	94.96	99.67	99.69	20	CAJZGK01	MGYG000298377	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa_A	ERS7621722	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298377/genomes1/MGYG000298377.gff.gz
MGYG000298378	MAG	1608834	322	5289	52.49	67.04	0.45	0.0	0.0	0.0	18	CAJPSG01	MGYG000298378	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella_B;s__	ERS6080734	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298378/genomes1/MGYG000298378.gff.gz
MGYG000298379	MAG	897004	82	22747	35.36	75.63	0.0	0.0	0.0	0.0	19	GCA_015258205	MGYG000298379	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__HOT-345;s__HOT-345 sp013333295	SAMN14570635	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298379/genomes1/MGYG000298379.gff.gz
MGYG000298380	MAG	1642081	730	2658	65.96	73.88	2.76	93.28	0.0	24.85	14	GCA_015256905	MGYG000298380	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__	SAMN14570700	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298380/genomes1/MGYG000298380.gff.gz
MGYG000298381	MAG	1047741	188	6022	46.15	74.84	0.88	94.12	0.0	27.76	15	CAJPNB01	MGYG000298381	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella parvula	ERS6080606	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298381/genomes1/MGYG000298381.gff.gz
MGYG000298383	MAG	2437157	1	2437157	37.15	93.86	0.0	0.0	99.61	99.52	20	CAKAFT01	MGYG000298383	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__	ERS7766807	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298383/genomes1/MGYG000298383.gff.gz
MGYG000298388	MAG	1951929	85	41147	45.66	98.2	0.0	93.28	13.44	20.55	17	GCA_015258095	MGYG000298388	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__	SAMN14570638	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298388/genomes1/MGYG000298388.gff.gz
MGYG000298389	MAG	677098	43	22333	43.44	70.22	0.2	94.96	99.67	99.79	19	CAJVVW01	MGYG000298389	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__TM7x sp900556355	ERS7365000	ERP127229	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298389/genomes1/MGYG000298389.gff.gz
MGYG000298392	MAG	2799231	42	158639	50.39	99.32	0.08	0.0	0.0	0.0	19	CAJPSO01	MGYG000298392	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella denticola	ERS6080743	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298392/genomes1/MGYG000298392.gff.gz
MGYG000298393	MAG	1115692	241	4897	41.33	62.09	0.11	0.0	0.0	0.0	7	CAJVVN01	MGYG000298393	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ERS7365005	ERP127229	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298393/genomes1/MGYG000298393.gff.gz
MGYG000298394	MAG	1116542	155	9321	42.07	50.86	0.0	0.0	0.0	0.0	3	CAJZGQ01	MGYG000298394	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ERS7621689	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002983/MGYG000298394/genomes1/MGYG000298394.gff.gz
MGYG000298400	MAG	2984208	495	7391	63.43	85.97	1.01	0.0	0.0	0.0	18	GCA_015256335	MGYG000298400	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus agitatus	SAMN14570729	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298400/genomes1/MGYG000298400.gff.gz
MGYG000298401	MAG	2386140	1	2386140	39.79	95.23	0.0	0.0	99.61	99.52	20	CAKAFZ01	MGYG000298401	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__F0428;s__F0428 sp003043955	ERS7766801	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298401/genomes1/MGYG000298401.gff.gz
MGYG000298402	MAG	2217958	237	13429	58.4	89.1	1.29	0.0	0.0	0.0	18	CAJPRM01	MGYG000298402	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium	ERS6080706	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298402/genomes1/MGYG000298402.gff.gz
MGYG000298403	MAG	1264311	73	34108	48.56	85.2	0.81	0.0	0.0	0.0	20	GCA_015259155	MGYG000298403	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995	SAMN14570589	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298403/genomes1/MGYG000298403.gff.gz
MGYG000298404	MAG	3115083	157	35947	64.25	90.79	0.7	0.0	0.0	0.0	20	CAJPPP01	MGYG000298404	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333735	ERS6080664	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298404/genomes1/MGYG000298404.gff.gz
MGYG000298405	MAG	1242287	17	144593	27.16	74.49	1.57	0.0	0.0	0.0	19	GCA_015258325	MGYG000298405	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__CAG-793 sp013333035	SAMN14570627	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298405/genomes1/MGYG000298405.gff.gz
MGYG000298410	MAG	759152	31	29025	51.13	61.67	0.0	0.0	11.29	0.0	19	GCA_013333695	MGYG000298410	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__TM7x sp013333695	SAMN14602645	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298410/genomes1/MGYG000298410.gff.gz
MGYG000298417	MAG	2368306	100	40104	66.54	99.05	0.47	0.0	0.0	0.0	20	CAJPMV01	MGYG000298417	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285	ERS6080603	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298417/genomes1/MGYG000298417.gff.gz
MGYG000298418	MAG	783709	21	68793	46.78	63.12	2.24	0.0	0.0	10.7	18	GCA_013333485	MGYG000298418	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp010202265	SAMN14602656	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298418/genomes1/MGYG000298418.gff.gz
MGYG000298421	MAG	3096012	227	25014	65.59	98.05	0.0	0.0	0.0	0.0	19	GCA_015254855	MGYG000298421	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	SAMN14570803	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298421/genomes1/MGYG000298421.gff.gz
MGYG000298424	MAG	1510681	227	9128	56.96	84.58	1.22	93.28	0.0	0.0	12	GCA_015259345	MGYG000298424	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000758755	SAMN14570575	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298424/genomes1/MGYG000298424.gff.gz
MGYG000298425	MAG	1632811	265	6939	37.6	76.33	0.0	0.0	0.0	0.0	14	CAJPNH01	MGYG000298425	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sp000192225	ERS6080598	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298425/genomes1/MGYG000298425.gff.gz
MGYG000298432	MAG	1931803	60	44957	41.23	99.17	0.82	0.0	0.0	0.0	19	CAJPRW01	MGYG000298432	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_H	ERS6080724	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298432/genomes1/MGYG000298432.gff.gz
MGYG000298433	MAG	2409554	73	48591	43.51	77.05	0.68	0.0	0.0	0.0	16	CAJPQO01	MGYG000298433	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella saccharolytica	ERS6080695	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298433/genomes1/MGYG000298433.gff.gz
MGYG000298437	MAG	451999	77	6785	48.55	62.23	0.0	0.0	0.0	0.0	14	CAJPSL01	MGYG000298437	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__	ERS6080738	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298437/genomes1/MGYG000298437.gff.gz
MGYG000298438	MAG	2070314	105	36952	55.82	91.56	0.23	0.0	0.0	0.0	18	CAJPRZ01	MGYG000298438	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella;s__Eikenella corrodens	ERS6080725	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298438/genomes1/MGYG000298438.gff.gz
MGYG000298443	MAG	1705382	330	5653	43.72	61.84	0.21	0.0	0.0	0.0	6	CAJPMM01	MGYG000298443	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sinus	ERS6080584	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298443/genomes1/MGYG000298443.gff.gz
MGYG000298445	MAG	2257420	1	2257420	46.96	95.35	2.17	94.96	99.61	99.79	20	CAKAFH01	MGYG000298445	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia defectiva	ERS7766723	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002984/MGYG000298445/genomes1/MGYG000298445.gff.gz
